name,address,pincode,latitude,longitude,phone_no,iframe
Ambattur,"Nolambur, Ambattur Industrial Estate, Chennai, Tamil Nadu 600095",600095,13.0922855,80.1675492,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Nolambur,%20Ambattur%20Industrial%20Estate,%20Chennai,%20Tamil%20Nadu%20600095+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"></iframe><a href="https://www.mapsdirections.info/en/measure-map-radius/">Measure circle on map</a></div>
Guindy,"1, New St, Alandur, Chennai, Tamil Nadu 600016",600032,13.0240494,80.2160764,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=1,%20New%20St,%20Alandur,%20Chennai,%20Tamil%20Nadu%20600016+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Adyar,"115, LB Road, Dr. Muthulakshmi salai, Adyar, Chennai, Tamil Nadu 600020",600020,13.0012184,80.2565165,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=115,%20LB%20Road,%20Dr.%20Muthulakshmi%20salai,%20Adyar,%20Chennai,%20Tamil%20Nadu%20600020+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Saidapet,"Brahmin St, Suriyammapet, Saidapet, Chennai, Tamil Nadu 600015",600015,13.020817,80.2239536,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Brahmin%20St,%20Suriyammapet,%20Saidapet,%20Chennai,%20Tamil%20Nadu%20600015+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Anna nagar,"2nd Main Rd, Block K, Annanagar East, Chennai, Tamil Nadu 600102",600102,13.0835142,80.1840779,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=2nd%20Main%20Rd,%20Block%20K,%20Annanagar%20East,%20Chennai,%20Tamil%20Nadu%20600102+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Mambalam,"10/30, Nagarjuna Nagar, Kodambakkam, Chennai, Tamil Nadu 600024",600024,13.0582742,80.2078872,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=10/30,%20Nagarjuna%20Nagar,%20Kodambakkam,%20Chennai,%20Tamil%20Nadu%20600024+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Alandur,"1, New St, Alandur, Chennai, Tamil Nadu 600016",600016,13.0240494,80.2160764,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=1,%20New%20St,%20Alandur,%20Chennai,%20Tamil%20Nadu%20600016+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Kotturpuram,"Gandhi Mandapam Rd, Surya Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",600025,13.01293345,80.23644942,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Gandhi%20Mandapam%20Rd,%20Surya%20Nagar,%20Kotturpuram,%20Chennai,%20Tamil%20Nadu%20600085+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Kotturpuram,"Gandhi Mandapam Rd, Surya Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",600085,13.01293345,80.23644942,,"https://maps.google.com/maps?width=100%25&amp;height=600&amp;hl=en&amp;q=Gandhi%20Mandapam%20Rd,%20Surya%20Nagar,%20Kotturpuram,%20Chennai,%20Tamil%20Nadu%20600085+(Your%20Business%20Name)&amp;t=&amp;z=14&amp;ie=UTF8&amp;iwloc=B&amp;output=embed"
Mylapur,"Shop No, 1, Dr Radha Krishnan Salai, Kailasapuram, Mylapore, Chennai, Tamil Nadu 600004",,,,
